scenario_id,subject,difficulty,trial_mode,mode,condition,seed,success,completion_time_sec,total_inputs,interactions,motion_tool_calls,mode_switches,direction_reversals,dropped_inputs,selection_perturbations,direction_perturbations,target_filtered_out,terminated_at_max_ticks,end_reason
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,compound_mid,2,1,15.4967,26,1,1,1,0,3,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,compound_mid,3,1,13.1328,20,1,1,1,0,2,0,3,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,compound_mid,4,1,11.1997,14,6,2,1,0,1,3,2,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,clean,0,1,5.5202,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,clean,1,1,5.5202,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,clean,2,1,5.5202,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,clean,3,1,5.5202,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,clean,4,1,5.5202,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,dir_low,0,1,5.5202,13,1,1,1,0,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,dir_low,1,1,5.5202,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,dir_low,2,1,6.986,19,1,1,1,4,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,dir_low,3,1,5.5202,13,1,1,1,0,0,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,dir_low,4,1,5.5202,13,1,1,1,0,0,0,3,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,dir_high,0,1,5.5202,13,1,1,1,0,0,0,2,1,0,task_complete
